Name,SKU (Leave blank to auto-generate),Barcode (Leave blank to auto-generate),MRP,Purchase Price,Selling Price,GST Rate,HSN Code,Unit,Stock,Reorder Level,Image URL
"Chimertech CMT Kit 500mL with Paddle","VDD1-101-B01-500M","890101500001","599","300","450","5","38220019","pcs","100","5","https://chimertech.shop/cdn/shop/files/500mlCMTwithpaddle.jpg?v=1779701780"
"Dip Cup","VDD3-204-A01-1UNT","890204100001","200","100","150","18","38089199","pcs","100","5","https://chimertech.shop/cdn/shop/files/DipCup1unit8.avif?v=1775634547"
"FineKine 1Kg","VDD3-201-A01-001K","890201001001","699","300","600","5","30049085","pcs","80","5","https://chimertech.shop/cdn/shop/files/FineKine_1_kg_0.png?v=1779102161"
"FineKine 5Kg with Dip Cup Combo","VDD3-201-B01-005K","890201005001","3699","2000","3200","5","30049085","pcs","5","5","https://chimertech.shop/cdn/shop/files/FineKine_5Kg_with_Dip_Cup_Combo.png?v=1779879753"
"Iogiene 1Kg with Dip Cup Combo","VDD3-202-B01-001K","890202001001","799","370","650","5","30049085","pcs","80","5","https://chimertech.shop/cdn/shop/files/Iogiene1KgwithDipCupCombo9.webp?v=1775629300"
"Iogiene 5Kg with Dip Cup Combo","VDD3-202-B01-005K","890202005001","3499","1900","3000","5","30049085","pcs","5","5","https://chimertech.shop/cdn/shop/files/Iogiene_5Kg_with_Dip_Cup_Combo.png?v=1779879753"
"MooFoam 1Kg with Dip Cup Combo","VDD3-203-B01-001K","890203001001","699","380","550","5","34022090","pcs","80","5","https://chimertech.shop/cdn/shop/files/MooFoam1KgwithDipCupCombo.webp?v=1775629851"
"MastoVeda 200ml","VDD3-205-A01-200M","890205002001","699","300","525","12","30049011","pcs","50","5","https://chimertech.shop/cdn/shop/files/MastoVeda200ml.webp?v=1775634620"
"Quadmastest Pro","VDD1-102-A01-1UNT","890102001001","27500","16000","23000","18","90278090","pcs","1","5","https://chimertech.shop/cdn/shop/files/QuadmastestPro.webp?v=1775635032"
"Tic Tick Tick 200ml Reagent","VHG1-301-A01-200M","890301002001","699","300","420","18","38089199","pcs","80","5","https://chimertech.shop/cdn/shop/files/TicTickTick200mlReagent.webp?v=1775635099"
"PregKine Bovine Pregnancy Rapid Test Kit","VBD1-801-A01-01TK","890801001001","519","180","250","5","38220019","pcs","75","5","https://chimertech.shop/cdn/shop/files/PregKine_Bovine_Pregnancy_Rapid_Test_Kit.png?v=1779881177"
"Nsure Aqua (Pack of 50)","VDG1-702-A01-50TK","890702050001","1500","1000","1400","5","38220019","pcs","5","5","https://chimertech.shop/cdn/shop/files/NsureAquaPackof50.webp?v=1775635399"
"Off-Horn Dehorning Paste","VHG1-302-A01-050G","890302050001","250","100","200","12","30049011","pcs","30","5","https://chimertech.shop/cdn/shop/files/Off-HornDehorningPaste.webp?v=1775635445"
"NutraKine D-Wormer 100ml","VNM1-403-A01-100M","890403100001","249","90","185","5","30049085","pcs","40","5","https://chimertech.shop/cdn/shop/files/NutraKineD-Wormer100ml.webp?v=1775635500"
"NutraKine Mineral Mixture - Mineral Max 1Kg","VNM1-401-A01-001K","890401001001","200","150","180","0","23099090","pcs","100","5","https://chimertech.shop/cdn/shop/files/NutraKineMineralMixture-MineralMax1Kg.webp?v=1775635540"
"NutraKine Probiotics - ProBos+ 500g","VNM1-402-A01-500G","890402500001","280","180","250","0","23099090","pcs","100","5","https://chimertech.shop/cdn/shop/files/NutraKineProbiotics-ProBos500g.webp?v=1775635580"
"NutraKine Calcdex 5L","VDS1-505-A01-005L","890505005001","649","440","550","0","23099090","pcs","10","5","https://chimertech.shop/cdn/shop/files/NutraKineCalcdex5L.webp?v=1775635620"
"AI Digital Gun","VBG1-806-A01-1UNT","890806001001","33000","25000","28000","18","90189099","pcs","1","5","https://chimertech.shop/cdn/shop/files/Digitalartificialinseminationgunwithcameraforcattleandhorse_f42b64af-90f5-4738-9892-22a51b2c7464.jpg?v=1775724636"
"Estrus Gun","VBG1-802-A01-1UNT","890802001001","9500","6000","7500","5","90181290","pcs","1","5","https://chimertech.shop/cdn/shop/files/EstrusGunCattle.webp?v=1775649104"
"LN2 Container 3Ltr","VBG1-805-A01-003L","890805003001","11000","8000","9000","18","96170012","pcs","1","5","https://chimertech.shop/cdn/shop/files/Portable_Liquid_Nitrogen_LN2_Container_for_Cattle_Semen_Storage_2_Litre.webp?v=1779108459"
